ORIG_FID,SIA2024BuildingType,BuildingAge,GroundFloorArea,nr_floors,h_final,GroundfloorRetrofit,RoofRetrofit,WallRetrofit,WindowRetrofit
152764,SFH,1968,112,2,4.335,1968,1968,1968,2018
152768,SFH,1968,109,2,4.34,1968,1968,1968,2018
151612,MFH,1954,131,2,7.14,1954,1954,1954,2004
151387,SFH,1982,134,3,6.35,1982,1982,1982,1982
152433,MFH,2011,318,3,9.275,2011,2011,2011,2011
